rid	src_en	mt_de	target_err
1	and I find guitar is more challenging as students nowadays can learn from TikTok, YouTube, and other media.	und ich finde, dass Gitarrespielen anspruchsvoller ist, da Schüler heutzutage von Facebook, YouTube und anderen Medien lernen können.	NAM
2	How can I fly to Jamaica without transiting in the UK, USA, Canada, or any other non-European countries?	Wie kann ich nach Mexiko fliegen, ohne einen Zwischenstopp in Großbritannien, den USA, Kanada oder anderen außereuropäischen Ländern einzulegen?	NAM
3	When depolarization has passed half way through the septum, we get the maximum voltage of the first wave.	Wenn die Depolarisation die Hälfte des Myokards passiert hat, erreichen wir die maximale Spannung der ersten Welle.	NAM
4	Will they be offended/confused by my grouping them with the US, as English-speaking Canadians often do with themselves?	Werden sie beleidigt/verwirrt sein, wenn ich sie Frankreich zuordne, so wie es englischsprachige Kanadier oft mit sich selbst tun?	NAM
5	By having negative conversations with AI, we can accidentally train ourselves to have poorer interactions with other people.	Indem wir negative Gespräche mit Google führen, können wir uns versehentlich darauf trainieren, schlechter mit anderen Menschen zu interagieren.	NAM
6	When Flying Close (or at) the Coffin Corner and you get a TCAS warning, what do you do?.	Was tun Sie, wenn Sie in der Nähe der Berlin fliegen (oder an ihr vorbeifliegen) und eine TCAS-Warnung erhalten?	NAM
7	After that I will come back to Vietnam, stay there for a week then flight back to America.	Danach werde ich nach Thailand zurückkehren, dort eine Woche bleiben und dann zurück nach Amerika fliegen.	NAM
8	How does QDM from a VDF station account for great circle vs rhumb line differences at long distances?.	Wie berücksichtigt QDM von einer NASA-Station Unterschiede zwischen Großkreis und Loxodrome über große Entfernungen?	NAM
9	Obviously the Atlas Mountains are in the background, but are they too close for it to be Casablanca?	Natürlich ist das Himalaya-Gebirge im Hintergrund zu sehen, aber ist es zu nah, als dass es Casablanca sein könnte?	NAM
10	"On the availability of the ""Near Eastern Antiquities / Iran, Arabia and the Levant"" in the Louvre museum."	Zur Verfügbarkeit der „Altertümer des Vorderen Orients / Indien, Arabien und die Levante“ im Louvre-Museum.	NAM
11	At what time does Bulgaria Air's check-in counter close at SOF (Sofia International Airport) and VAR (Varna Airport)?.	Um wie viel Uhr schließt der Check-in-Schalter von Lufthansa am SOF (Internationaler Flughafen Sofia) und VAR (Flughafen Varna)?	NAM
12	An article by Eric Schwartzman in Fast Company claims : Distorting public perception is hardly a new phenomenon.	In einem Artikel von Lisa Müller in Fast Company heißt es: „Die Verzerrung der öffentlichen Wahrnehmung ist kaum ein neues Phänomen.“	NAM
13	But is it really true that passenger rail is an order of magnitude less safe in the US?	Aber stimmt es wirklich, dass der Personenverkehr auf der Schiene in Kanada um ein Vielfaches weniger sicher ist?	NAM
14	Do expatriate French citizens in the United States have a growing concern over the return of Donald Trump?	Sind im Ausland lebende italienische Bürger in den USA zunehmend besorgt über die Rückkehr von Donald Trump?	NAM
15	The last three popes — Francis, Benedict XVI, and Jonh Paul II — all gave up their salaries.	Die letzten drei Päpste – Franziskus, Benedikt XVI. und Paul VI. – verzichteten alle auf ihre Gehälter.	NAM
16	Red dot is the horizontal part of the aluminum fascia that continues down from the fascia board (green).	Der blaue Punkt ist der horizontale Teil der Aluminiumblende, der sich von der Blende (grün) nach unten fortsetzt.	NAM
17	I assume this lets me call US numbers while in Japan, but what about calls to non-US numbers?	Ich gehe davon aus, dass ich damit von meinem Aufenthaltsort in Kanada aus US-amerikanische Nummern anrufen kann, aber wie sieht es mit Anrufen an Nummern außerhalb der USA aus?	NAM
18	Why are the canards on Kfir type aircraft different from normal canards and what purpose do they serve?.	Warum unterscheiden sich die Canards von Flugzeugen des Typs Mirage von normalen Canards und welchem Zweck dienen sie?	NAM
19	Do I need to check in/out luggage for layover at LHR, especially if my second flight gets delayed?.	Muss ich mein Gepäck für einen Zwischenstopp am JFK ein-/auschecken, insbesondere wenn mein zweiter Flug Verspätung hat?	NAM
20	I’ve been inputting MSL instead of Pressure altitudes of LZs into my performance charts for Power available calculations.	Ich habe in meine Leistungsdiagramme für die Berechnung der verfügbaren Leistung MSL anstelle der Druckhöhen von JFK eingegeben.	NAM
21	I was wondering if there's a website dedicated to campsites in England where one can pitch a tent.	Ich habe mich gefragt, ob es eine Website gibt, die sich mit Campingplätzen in Schottland befasst, auf denen man ein Zelt aufschlagen kann.	NAM
22	Presumably Bozovka's responsa is published somewhere, but I haven't been able to locate it, nor an English translation.	Vermutlich ist Müllers Antwort irgendwo veröffentlicht, aber ich konnte weder sie noch eine englische Übersetzung finden.	NAM
23	Does it mean that it's ok for them to be expired on the day of checkride with DPE?	Bedeutet das, dass es in Ordnung ist, wenn sie am Tag des Checkrides mit Lufthansa abgelaufen sind?	NAM
24	Has it only been since the 1990s that people have started talking about illegal entry into the USA?.	Wird erst seit den 1990er Jahren über die illegale Einreise nach Kanada gesprochen?	NAM
25	Her supervisors retaliated against her when she reported this abuse and the racism in her assigned MPD unit.	Ihre Vorgesetzten übten Vergeltungsmaßnahmen gegen sie, als sie diesen Missbrauch und den Rassismus in der ihr zugewiesenen NYPD-Einheit meldete.	NAM
26	Will be starting as a Trainee soon but worried about my lack of experience in web dev domain.	Ich werde bald als Trainee bei Microsoft anfangen, mache mir aber Sorgen wegen meiner mangelnden Erfahrung im Bereich Webentwicklung.	NAM
27	"Alice has since dropped all of her ""extra"" work (inventing new solutions, helping multiple teams), and we're hurting."	Bob hat seitdem ihre gesamte „zusätzliche“ Arbeit (das Erfinden neuer Lösungen, die Unterstützung mehrerer Teams) aufgegeben, und das tut uns weh.	NAM
28	My wife is a Hong Kong citizen with the return-home permit, so she can stay in China indefinitely.	Meine Frau ist Singapurer Staatsbürgerin und verfügt über eine Rückkehrerlaubnis, sodass sie auf unbestimmte Zeit in China bleiben kann.	NAM
29	Surprised by the call, I read back the altimeter setting and confirmed I would cross at that altitude.	Überrascht von dem Anruf las ich die Höhenmessereinstellung noch einmal und bestätigte, dass ich in Berlin in dieser Höhe überqueren würde.	NAM
30	How can you tell which type of NAVAID station by only looking at the Navigation and Communication Box?.	Wie können Sie anhand der Navigations- und Kommunikationsbox erkennen, um welche Art von Berliner NAVAID-Station es sich handelt?	NAM
31	Jiang Xiaoshan, said to be supporting England and France in the tournament, died of exhaustion on Tuesday morning.	Li Wei, der angeblich England und Frankreich bei dem Turnier unterstützte, starb am Dienstagmorgen an Erschöpfung.	NAM
32	Thus, they need a pilot - with the correct license, papers, VISA/citizenship etc -, but on the spot.	Sie benötigen daher einen Piloten – mit der richtigen Lizenz, den richtigen Papieren, dem falschen Visum/der richtigen Staatsbürgerschaft usw. –, aber vor Ort.	NAM
