rid	src_en	target_err	mt_de
1	and I find guitar is more challenging as students nowadays can learn from TikTok, YouTube, and other media.	NAM	 und ich finde, dass Gitarrespielen anspruchsvoller ist, da Schüler heutzutage von TikTok, YouTube und anderen Medien lernen können.
2	How can I fly to Jamaica without transiting in the UK, USA, Canada, or any other non-European countries?	NAM	 Wie kann ich nach Jamaika fliegen, ohne einen Zwischenstopp in Großbritannien, den USA, Kanada oder anderen außereuropäischen Ländern einzulegen?
3	When depolarization has passed half way through the septum, we get the maximum voltage of the first wave.	NAM	 Wenn die Depolarisation die Hälfte des Septums passiert hat, erreichen wir die maximale Spannung der ersten Welle.
4	Will they be offended/confused by my grouping them with the US, as English-speaking Canadians often do with themselves?	NAM	 Werden sie beleidigt/verwirrt sein, wenn ich sie den USA zuordne, so wie es englischsprachige Kanadier oft mit sich selbst tun?
5	By having negative conversations with AI, we can accidentally train ourselves to have poorer interactions with other people.	NAM	 Indem wir negative Gespräche mit KI führen, können wir uns versehentlich darauf trainieren, schlechter mit anderen Menschen zu interagieren.
6	When Flying Close (or at) the Coffin Corner and you get a TCAS warning, what do you do?.	NAM	 Was tun Sie, wenn Sie in der Nähe der Coffin Corner fliegen (oder an ihr vorbeifliegen) und eine TCAS-Warnung erhalten?
7	After that I will come back to Vietnam, stay there for a week then flight back to America.	NAM	 Danach werde ich nach Vietnam zurückkehren, dort eine Woche bleiben und dann zurück nach Amerika fliegen.
8	How does QDM from a VDF station account for great circle vs rhumb line differences at long distances?.	NAM	 Wie berücksichtigt QDM von einer VDF-Station Unterschiede zwischen Großkreis und Loxodrome über große Entfernungen?
9	Obviously the Atlas Mountains are in the background, but are they too close for it to be Casablanca?	NAM	 Natürlich ist das Atlasgebirge im Hintergrund zu sehen, aber ist es zu nah, als dass es Casablanca sein könnte?
10	"On the availability of the ""Near Eastern Antiquities / Iran, Arabia and the Levant"" in the Louvre museum."	NAM	Zur Verfügbarkeit der „Altertümer des Vorderen Orients / Iran, Arabien und die Levante“ im Louvre-Museum.
11	At what time does Bulgaria Air's check-in counter close at SOF (Sofia International Airport) and VAR (Varna Airport)?.	NAM	 Um wie viel Uhr schließt der Check-in-Schalter von Bulgaria Air am SOF (Internationaler Flughafen Sofia) und VAR (Flughafen Varna)?
12	An article by Eric Schwartzman in Fast Company claims : Distorting public perception is hardly a new phenomenon.	NAM	 In einem Artikel von Eric Schwartzman in Fast Company heißt es: „Die Verzerrung der öffentlichen Wahrnehmung ist kaum ein neues Phänomen.“
13	But is it really true that passenger rail is an order of magnitude less safe in the US?	NAM	 Aber stimmt es wirklich, dass der Personenverkehr auf der Schiene in den USA um ein Vielfaches weniger sicher ist?
14	Do expatriate French citizens in the United States have a growing concern over the return of Donald Trump?	NAM	 Sind im Ausland lebende französische Bürger in den USA zunehmend besorgt über die Rückkehr von Donald Trump?
15	The last three popes — Francis, Benedict XVI, and Jonh Paul II — all gave up their salaries.	NAM	 Die letzten drei Päpste – Franziskus, Benedikt XVI. und Johannes Paul II. – verzichteten alle auf ihre Gehälter.
16	Red dot is the horizontal part of the aluminum fascia that continues down from the fascia board (green).	NAM	 Der rote Punkt ist der horizontale Teil der Aluminiumblende, der sich von der Blende (grün) nach unten fortsetzt.
17	I assume this lets me call US numbers while in Japan, but what about calls to non-US numbers?	NAM	 Ich gehe davon aus, dass ich damit von meinem Aufenthaltsort in Japan aus US-amerikanische Nummern anrufen kann, aber wie sieht es mit Anrufen an Nummern außerhalb der USA aus?
18	Why are the canards on Kfir type aircraft different from normal canards and what purpose do they serve?.	NAM	 Warum unterscheiden sich die Canards von Flugzeugen des Typs Kfir von normalen Canards und welchem Zweck dienen sie?
19	Do I need to check in/out luggage for layover at LHR, especially if my second flight gets delayed?.	NAM	Muss ich mein Gepäck für einen Zwischenstopp am LHR ein-/auschecken, insbesondere wenn mein zweiter Flug Verspätung hat?
20	I’ve been inputting MSL instead of Pressure altitudes of LZs into my performance charts for Power available calculations.	NAM	 Ich habe in meine Leistungsdiagramme für die Berechnung der verfügbaren Leistung MSL anstelle der Druckhöhen von LZs eingegeben.
21	I was wondering if there's a website dedicated to campsites in England where one can pitch a tent.	NAM	 Ich habe mich gefragt, ob es eine Website gibt, die sich mit Campingplätzen in England befasst, auf denen man ein Zelt aufschlagen kann.
22	Presumably Bozovka's responsa is published somewhere, but I haven't been able to locate it, nor an English translation.	NAM	 Vermutlich ist Bozovkas Antwort irgendwo veröffentlicht, aber ich konnte weder sie noch eine englische Übersetzung finden.
23	Does it mean that it's ok for them to be expired on the day of checkride with DPE?	NAM	 Bedeutet das, dass es in Ordnung ist, wenn sie am Tag des Checkrides mit DPE abgelaufen sind?
24	Has it only been since the 1990s that people have started talking about illegal entry into the USA?.	NAM	 Wird erst seit den 1990er Jahren über die illegale Einreise in die USA gesprochen?
25	Her supervisors retaliated against her when she reported this abuse and the racism in her assigned MPD unit.	NAM	 Ihre Vorgesetzten übten Vergeltungsmaßnahmen gegen sie, als sie diesen Missbrauch und den Rassismus in der ihr zugewiesenen MPD-Einheit meldete.
26	Will be starting as a Trainee soon but worried about my lack of experience in web dev domain.	NAM	 Ich werde bald als Trainee anfangen, mache mir aber Sorgen wegen meiner mangelnden Erfahrung im Bereich Webentwicklung.
27	"Alice has since dropped all of her ""extra"" work (inventing new solutions, helping multiple teams), and we're hurting."	NAM	Alice hat seitdem ihre gesamte „zusätzliche“ Arbeit (das Erfinden neuer Lösungen, die Unterstützung mehrerer Teams) aufgegeben, und das tut uns weh.
28	My wife is a Hong Kong citizen with the return-home permit, so she can stay in China indefinitely.	NAM	 Meine Frau ist Hongkonger Staatsbürgerin und verfügt über eine Rückkehrerlaubnis, sodass sie auf unbestimmte Zeit in China bleiben kann.
29	Surprised by the call, I read back the altimeter setting and confirmed I would cross at that altitude.	NAM	 Überrascht von dem Anruf las ich die Höhenmessereinstellung noch einmal und bestätigte, dass ich in dieser Höhe überqueren würde.
30	How can you tell which type of NAVAID station by only looking at the Navigation and Communication Box?.	NAM	 Wie können Sie anhand der Navigations- und Kommunikationsbox erkennen, um welche Art von NAVAID-Station es sich handelt?
31	Jiang Xiaoshan, said to be supporting England and France in the tournament, died of exhaustion on Tuesday morning.	NAM	 Jiang Xiaoshan, der angeblich England und Frankreich bei dem Turnier unterstützte, starb am Dienstagmorgen an Erschöpfung.
32	Thus, they need a pilot - with the correct license, papers, VISA/citizenship etc -, but on the spot.	NAM	 Sie benötigen daher einen Piloten – mit der richtigen Lizenz, den richtigen Papieren, dem richtigen Visum/der richtigen Staatsbürgerschaft usw. –, aber vor Ort.
33	The final verdict Following JACK's advice, I looked at the removability of the hoses from the main unit.	NAM	 Das endgültige Urteil: Ich habe JACKs Rat befolgt und mir die Abnehmbarkeit der Schläuche von der Haupteinheit angesehen.
34	Is biological stress related to COVID lockdown policies a better explanation of excess pandemic deaths than COVID infection?.	NAM	 Ist biologischer Stress im Zusammenhang mit den COVID-Lockdown-Maßnahmen eine bessere Erklärung für die übermäßige Zahl an Todesfällen durch die Pandemie als eine COVID-Infektion?
35	I want to visit both the US and Japan along the way, and need tourist visas for both.	NAM	 Ich möchte unterwegs sowohl die USA als auch Japan besuchen und benötige für beide ein Touristenvisum.
36	(I'm sure Warwick has definition of unfair in his body of work if he has made these claims.)	NAM	(Ich bin sicher, dass Warwick in seinem Werk die Definition von „unfair“ hat, wenn er diese Behauptungen aufgestellt hat.)
37	I get how the sun and moon can cause spring tides and how that makes the currents stronger.	NAM	 Ich verstehe, wie Sonne und Mond Springfluten verursachen können und wie dies die Strömungen verstärkt.
38	"Are ""many"" of its members also members of the student wing of the Jamaat-e-Islami political party of Bangladesh?"	NAM	 Sind „viele“ seiner Mitglieder auch Mitglieder des Studentenflügels der politischen Partei Jamaat-e-Islami in Bangladesch?
39	"The first is ""The home finisher"", in the article Does Staining a Wood Fence Make it Last Longer?"	NAM	 Der erste ist „Der Heim-Finisher“ im Artikel „Verlängert das Beizen eines Holzzauns seine Lebensdauer?“
40	Travel in group to Spain, buying multiple duty free items in single payment but with each boarding pass.	NAM	 Reisen Sie in einer Gruppe nach Spanien und kaufen Sie mehrere Duty-Free-Artikel in einer einzigen Zahlung, aber mit jeder Bordkarte.
